City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobyo,SO,5.3505,48.5268,79.02,70,8,10.94,clear sky
1,Naze,JP,28.3667,129.4833,70.72,75,100,13.67,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,37.06,81,90,23.02,heavy snow
3,Ducheng,CN,23.2373,111.5317,67.89,96,31,2.37,scattered clouds
4,Cape Town,ZA,-33.9258,18.4232,67.12,62,0,12.66,clear sky
5,Rikitea,PF,-23.1203,-134.9692,73.54,61,50,5.17,scattered clouds
6,Orocue,CO,4.7912,-71.3354,84.04,63,99,5.84,overcast clouds
7,Hamilton,US,39.1834,-84.5333,51.94,52,90,1.01,overcast clouds
8,Busselton,AU,-33.65,115.3333,57.04,61,70,10.85,broken clouds
9,Chokurdakh,RU,70.6333,147.9167,-14.53,100,85,6.02,overcast clouds
10,Hermanus,ZA,-34.4187,19.2345,66.9,75,100,19.73,overcast clouds
11,Hilo,US,19.7297,-155.09,82.13,74,40,10.36,scattered clouds
12,Carnarvon,AU,-24.8667,113.6333,69.87,83,90,12.66,light rain
13,Punta Arenas,CL,-53.15,-70.9167,46.51,46,40,34.52,scattered clouds
14,Buala,SB,-8.145,159.5921,84.02,66,55,3.85,broken clouds
15,Bar Harbor,US,44.3876,-68.2039,40.01,59,1,3.0,clear sky
16,Fukue,JP,32.6881,128.8419,66.2,60,100,10.0,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,37.29,85,29,9.46,scattered clouds
18,Bucerias,MX,20.75,-105.3333,83.98,73,0,4.72,clear sky
19,Yellowknife,CA,62.456,-114.3525,0.41,88,20,11.5,few clouds
20,Bredasdorp,ZA,-34.5322,20.0403,61.29,78,100,17.0,overcast clouds
21,Westport,US,41.1415,-73.3579,44.91,54,1,4.0,clear sky
22,Lebu,CL,-37.6167,-73.65,56.26,83,8,16.8,clear sky
23,Yatou,CN,37.15,122.3833,53.1,81,100,5.19,moderate rain
24,Castro,BR,-24.7911,-50.0119,61.84,84,33,7.16,scattered clouds
25,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,73,94,18.32,overcast clouds
26,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,40,8.05,scattered clouds
27,Airai,TL,-8.9266,125.4092,63.75,84,40,1.43,scattered clouds
28,Kahului,US,20.8947,-156.47,87.82,66,20,14.97,few clouds
29,Sovetskiy,RU,61.3614,63.5842,25.39,97,100,6.78,light snow
30,Ponta Do Sol,PT,32.6667,-17.1,65.71,72,100,4.61,overcast clouds
31,Antalaha,MG,-14.9003,50.2788,70.93,91,25,4.25,scattered clouds
32,Port Lincoln,AU,-34.7333,135.8667,57.38,65,11,13.69,few clouds
33,Butaritari,KI,3.0707,172.7902,81.63,68,100,13.94,overcast clouds
34,Khatanga,RU,71.9667,102.5,-21.23,100,100,4.21,overcast clouds
35,Hobart,AU,-42.8794,147.3294,58.12,77,20,5.75,few clouds
36,Saint-Joseph,RE,-21.3667,55.6167,73.76,73,6,2.46,clear sky
37,Krasnoselkup,RU,65.7,82.4667,-2.29,90,100,20.96,overcast clouds
38,Varniai,LT,55.7406,22.3644,40.69,96,100,1.63,light rain
39,Yumen,CN,40.2833,97.2,16.77,58,0,7.87,clear sky
40,Buncrana,IE,55.1333,-7.45,45.97,66,45,16.37,scattered clouds
41,Hay River,CA,60.8156,-115.7999,-0.42,71,20,9.22,few clouds
42,Vaini,TO,-21.2,-175.2,84.36,84,20,4.61,few clouds
43,Mount Isa,AU,-20.7333,139.5,85.77,51,11,6.91,few clouds
44,Avarua,CK,-21.2078,-159.775,80.65,69,40,16.11,scattered clouds
45,Vila,PT,42.0304,-8.1588,49.33,83,97,3.22,overcast clouds
46,Bluff,NZ,-46.6,168.3333,55.53,82,100,5.12,light rain
47,Harper,LR,4.375,-7.7169,79.52,87,6,7.81,light rain
48,Sibolga,ID,1.7427,98.7792,77.05,88,98,1.57,overcast clouds
49,Zlotoryja,PL,51.1264,15.9198,47.68,83,51,8.5,broken clouds
50,Cooma,AU,-36.2333,149.1333,49.77,100,90,6.91,overcast clouds
51,Padang,ID,-0.9492,100.3543,75.25,83,99,2.48,light rain
52,Port Elizabeth,ZA,-33.918,25.5701,64.69,72,75,13.8,broken clouds
53,Albany,US,42.6001,-73.9662,41.58,57,100,1.01,overcast clouds
54,Qaqortoq,GL,60.7167,-46.0333,34.27,100,100,3.69,moderate rain
55,Uray,RU,60.1247,64.7758,23.77,92,100,10.92,overcast clouds
56,Maple Creek,CA,49.9168,-109.4848,43.29,45,48,16.11,scattered clouds
57,Akyab,MM,20.15,92.9,74.61,75,33,7.76,scattered clouds
58,Geraldton,AU,-28.7667,114.6,61.12,82,75,3.44,broken clouds
59,Aasiaat,GL,68.7098,-52.8699,24.93,84,100,9.06,light snow
60,Halifax,CA,44.6453,-63.5724,37.4,72,10,1.99,clear sky
61,Dikson,RU,73.5069,80.5464,-8.91,84,78,14.92,broken clouds
62,Severo-Kurilsk,RU,50.6789,156.125,36.1,97,100,11.27,light rain
63,Sakakah,SA,29.9697,40.2064,60.37,36,87,7.81,overcast clouds
64,Mataura,NZ,-46.1927,168.8643,60.89,61,100,4.27,light rain
65,Hauterive,FR,46.0901,3.4459,39.02,87,22,2.57,few clouds
66,Santa Maria,BR,-29.6842,-53.8069,81.7,26,0,6.91,clear sky
67,Tiksi,RU,71.6872,128.8694,-10.28,95,99,6.51,overcast clouds
68,Kopavogur,IS,64.1123,-21.913,32.22,74,0,5.75,snow
69,Vlore,AL,40.4667,19.4897,57.38,62,0,3.65,clear sky
70,Tiznit,MA,29.5833,-9.5,60.22,69,13,1.25,few clouds
71,Kapaa,US,22.0752,-159.319,82.18,72,20,1.01,few clouds
72,Omboue,GA,-1.5746,9.2618,76.24,93,100,5.68,moderate rain
73,Narsaq,GL,60.9167,-46.05,34.25,100,100,1.88,moderate rain
74,Kodarma,IN,24.4667,85.6,66.38,55,93,3.47,overcast clouds
75,Kaitangata,NZ,-46.2817,169.8464,60.31,66,100,3.8,moderate rain
76,Longyearbyen,SJ,78.2186,15.6401,4.84,85,40,10.36,scattered clouds
77,Rocha,UY,-34.4833,-54.3333,63.14,69,0,4.81,clear sky
78,Saint-Philippe,RE,-21.3585,55.7679,74.75,72,4,5.68,clear sky
79,Cabo San Lucas,MX,22.8909,-109.9124,84.61,58,20,8.99,few clouds
80,Jaque,PA,7.5175,-78.1703,79.52,85,64,6.33,light rain
81,Srednekolymsk,RU,67.45,153.6833,-21.12,100,75,4.45,broken clouds
82,Cherskiy,RU,68.75,161.3,-18.78,95,94,0.81,overcast clouds
83,Kununurra,AU,-15.7667,128.7333,82.38,83,74,8.05,broken clouds
84,Cabedelo,BR,-6.9811,-34.8339,81.27,74,100,11.65,overcast clouds
85,Lavrentiya,RU,65.5833,-171.0,0.03,84,1,6.17,clear sky
86,Englewood,US,39.6478,-104.9878,55.11,36,90,3.0,overcast clouds
87,Jamestown,US,42.097,-79.2353,44.19,51,1,4.0,clear sky
88,New Norfolk,AU,-42.7826,147.0587,61.66,72,25,1.99,scattered clouds
89,Aquiraz,BR,-3.9014,-38.3911,85.21,64,99,13.0,overcast clouds
90,Atuona,PF,-9.8,-139.0333,78.89,71,3,12.93,clear sky
91,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,13.8,scattered clouds
92,Angoram,PG,-4.0625,144.0661,78.17,90,64,1.57,broken clouds
93,Rodrigues Alves,BR,-7.738,-72.6509,79.0,86,61,3.58,broken clouds
94,Yulara,AU,-25.2406,130.9889,66.04,72,90,16.11,overcast clouds
95,Dunedin,NZ,-45.8742,170.5036,60.4,63,97,2.39,overcast clouds
96,Bolobo,CD,-2.1667,16.2333,70.97,95,100,2.91,light rain
97,Marzuq,YE,14.4,46.4667,67.14,44,17,5.17,few clouds
98,Howard Springs,AU,-12.497,131.047,82.31,95,25,3.8,scattered clouds
99,Harrisonville,US,38.6533,-94.3488,58.21,47,1,3.44,clear sky
100,Homer,US,59.6425,-151.5483,19.27,79,1,3.44,clear sky
101,San Matias,BO,-16.3667,-58.4,77.16,80,41,3.91,scattered clouds
102,Grindavik,IS,63.8424,-22.4338,32.47,74,90,8.05,snow
103,Hithadhoo,MV,-0.6,73.0833,79.97,83,100,16.04,moderate rain
104,Lasa,IT,46.6166,10.7002,43.68,52,19,1.48,few clouds
105,Morondava,MG,-20.2833,44.2833,78.49,72,56,9.62,broken clouds
106,Pisco,PE,-13.7,-76.2167,69.85,73,0,17.27,clear sky
107,Maldonado,UY,-34.6667,-54.9167,70.99,63,0,2.86,clear sky
108,Union,US,40.6334,-74.2663,46.31,61,1,5.75,clear sky
109,Saint George,US,37.1041,-113.5841,72.07,24,1,1.01,clear sky
110,Clyde River,CA,70.4692,-68.5914,3.43,85,20,13.8,few clouds
111,Talnakh,RU,69.4865,88.3972,-19.12,93,30,9.35,scattered clouds
112,Zuya,UA,45.0531,34.3154,46.89,81,98,10.0,overcast clouds
113,Udimskiy,RU,61.1417,45.9144,24.26,97,100,0.58,overcast clouds
114,Storslett,NO,69.7678,21.0247,29.16,93,100,15.77,light snow
115,Galveston,US,29.3669,-94.9669,77.14,79,1,3.0,clear sky
116,Panguna,PG,-6.3164,155.4848,72.68,81,99,2.08,overcast clouds
117,Krizevci,HR,46.0219,16.5425,41.81,91,10,1.95,clear sky
118,Asosa,ET,10.0667,34.5333,63.91,44,24,5.08,few clouds
119,Candido Mendes,BR,-1.4467,-45.7167,78.93,82,13,5.7,few clouds
120,Cayenne,GF,4.9333,-52.3333,81.09,83,0,2.3,clear sky
121,Kawalu,ID,-7.3817,108.2082,72.57,96,95,1.41,overcast clouds
122,Chicama,PE,-7.8447,-79.1469,64.94,68,99,9.64,overcast clouds
123,Constitucion,CL,-35.3333,-72.4167,62.44,72,25,11.81,scattered clouds
124,Luanda,AO,-8.8368,13.2343,78.8,83,75,9.22,broken clouds
125,Georgetown,MY,5.4112,100.3354,78.75,89,20,1.99,few clouds
126,Kruisfontein,ZA,-34.0033,24.7314,60.89,80,98,12.3,overcast clouds
127,New Glasgow,CA,45.5834,-62.6486,38.98,73,61,7.67,broken clouds
128,Qaanaaq,GL,77.484,-69.3632,-7.64,71,0,6.93,clear sky
129,Visby,SE,57.6409,18.296,45.86,93,90,9.22,overcast clouds
130,Isangel,VU,-19.55,169.2667,80.71,78,75,0.0,broken clouds
131,Lucapa,AO,-8.4192,20.7447,65.12,96,79,2.39,light rain
132,San Francisco,US,37.7749,-122.4194,70.3,52,20,3.0,few clouds
133,Provideniya,RU,64.3833,-173.3,6.48,72,6,7.4,clear sky
134,Berlevag,NO,70.8578,29.0864,30.33,65,100,27.13,light snow
135,Datong,CN,40.0936,113.2914,26.04,44,42,13.53,scattered clouds
136,Mill Valley,US,37.906,-122.545,71.04,57,0,1.01,clear sky
137,Pauini,BR,-7.7136,-66.9764,75.99,95,45,3.51,scattered clouds
138,Santa Lucia,ES,27.9117,-15.5407,56.77,74,20,5.75,few clouds
139,Tabou,CI,4.423,-7.3528,80.02,87,8,6.33,light rain
140,Woodland,US,38.6785,-121.7733,71.28,47,1,5.99,clear sky
141,Poum,NC,-20.2333,164.0167,76.53,72,1,13.27,clear sky
142,Alice,US,27.7523,-98.0697,80.33,57,75,10.36,broken clouds
143,Neiafu,TO,-18.65,-173.9833,83.08,78,20,9.22,few clouds
144,Katsuura,JP,35.1333,140.3,55.51,72,20,7.67,few clouds
145,Mahebourg,MU,-20.4081,57.7,76.24,73,40,8.05,scattered clouds
146,Bantry,IE,51.6833,-9.45,47.68,81,97,9.33,overcast clouds
147,Vorukh,TJ,39.8494,70.5838,37.65,31,0,9.26,clear sky
148,Bethel,US,41.3712,-73.414,43.16,48,100,1.01,overcast clouds
149,Chuy,UY,-33.6971,-53.4616,65.68,71,0,7.87,clear sky
150,Gopalpur,IN,19.2667,84.9167,76.84,90,65,4.74,broken clouds
151,Namibe,AO,-15.1961,12.1522,67.06,81,43,4.61,scattered clouds
152,Oksfjord,NO,70.2396,22.3479,29.32,91,95,15.84,light snow
153,Nanortalik,GL,60.1432,-45.2371,36.7,98,100,8.99,moderate rain
154,Saskylakh,RU,71.9167,114.0833,-26.07,99,77,5.79,broken clouds
155,Riyadh,SA,24.6877,46.7219,75.34,35,0,7.63,clear sky
156,Touros,BR,-5.1989,-35.4608,81.5,74,97,12.5,overcast clouds
157,Carman,CA,49.4992,-98.0016,35.94,64,41,9.22,scattered clouds
158,Coihaique,CL,-45.5752,-72.0662,58.95,77,90,8.05,light intensity shower rain
159,Faanui,PF,-16.4833,-151.75,80.65,74,25,18.03,scattered clouds
160,Ozernovskiy,RU,51.5,156.5167,36.19,96,100,9.37,light rain
161,Nantucket,US,41.2835,-70.0995,43.0,67,1,4.61,clear sky
162,Rawson,AR,-43.3002,-65.1023,76.75,32,59,27.31,broken clouds
163,Altamont,US,42.2068,-121.7372,50.77,53,1,1.01,clear sky
164,Aksu,CN,41.1231,80.2644,28.04,49,0,3.06,clear sky
165,Anchorage,US,61.2181,-149.9003,12.67,75,1,5.01,clear sky
166,Green Valley,US,31.8543,-110.9937,82.36,17,94,10.58,overcast clouds
167,Progress,US,40.2851,-76.8314,44.02,55,90,1.01,overcast clouds
168,Mar Del Plata,AR,-38.0023,-57.5575,86.02,25,0,17.27,clear sky
169,Dahra,DZ,36.2546,0.8519,54.79,70,96,4.16,overcast clouds
170,Te Anau,NZ,-45.4167,167.7167,51.94,93,100,2.04,heavy intensity rain
171,Meulaboh,ID,4.1363,96.1285,75.61,93,100,2.73,moderate rain
172,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,75,6.91,broken clouds
173,Chanika,TZ,-5.4167,38.0167,66.79,96,69,4.65,broken clouds
174,Valladolid,ES,41.5833,-4.6667,53.89,65,100,2.26,overcast clouds
175,Aksha,RU,50.2814,113.2867,14.88,87,100,4.7,light snow
176,Norman Wells,CA,65.282,-126.8329,-3.96,77,40,2.3,scattered clouds
177,Kano,NG,12.0001,8.5167,73.29,35,0,0.0,clear sky
178,Egvekinot,RU,66.3167,-179.1667,-0.83,65,0,8.75,clear sky
179,Nuuk,GL,64.1835,-51.7216,31.87,86,98,28.99,overcast clouds
180,Chenzhou,CN,25.8,113.0333,60.98,98,100,3.65,overcast clouds
181,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,75,9.22,broken clouds
182,College,US,64.8569,-147.8028,-0.74,75,1,0.0,clear sky
183,Mombasa,KE,-4.0547,39.6636,81.01,78,40,3.44,scattered clouds
184,Nishihara,JP,26.1842,127.7558,73.45,80,40,11.5,scattered clouds
185,Harboore,DK,56.6175,8.1807,49.14,85,81,22.62,broken clouds
186,Alofi,NU,-19.0595,-169.9187,84.09,70,36,11.5,scattered clouds
187,Ustye,RU,59.6304,39.736,27.37,96,79,6.33,broken clouds
188,Kieta,PG,-6.2167,155.6333,80.46,77,99,2.1,overcast clouds
189,Saint-Prosper,CA,46.2117,-70.4811,29.71,70,98,3.76,overcast clouds
190,Vangaindrano,MG,-23.35,47.6,74.32,87,60,6.35,broken clouds
191,Saint-Pierre,RE,-21.3393,55.4781,74.84,64,0,5.75,clear sky
192,Kamenka,RU,51.3223,42.7678,36.75,96,100,20.94,overcast clouds
193,Salalah,OM,17.0151,54.0924,74.57,73,41,1.68,scattered clouds
194,Yilan,TW,24.757,121.753,73.02,99,23,3.69,few clouds
195,Kemijarvi,FI,66.7131,27.4306,27.97,83,87,9.66,snow
196,Aleksandrov Gay,RU,50.147,48.5704,42.55,92,100,20.33,overcast clouds
197,Acapulco,MX,16.8634,-99.8901,84.16,66,0,7.52,clear sky
198,Fortuna,US,40.5982,-124.1573,62.42,67,1,1.99,clear sky
199,Dubbo,AU,-32.25,148.6167,62.73,94,100,6.91,moderate rain
200,Klaksvik,FO,62.2266,-6.589,40.12,74,100,30.8,overcast clouds
201,Praia,CV,14.9215,-23.5087,77.54,78,75,11.5,broken clouds
202,Mojo,ET,8.6,39.1167,58.96,35,13,4.56,few clouds
203,Killam,CA,52.7834,-111.8518,18.99,73,98,23.02,overcast clouds
204,Port Hardy,CA,50.6996,-127.4199,44.78,93,90,4.61,light rain
205,Iqaluit,CA,63.7506,-68.5145,10.13,78,75,18.99,light snow
206,Magadan,RU,59.5667,150.8,20.61,71,100,14.03,overcast clouds
207,Sobolevo,RU,54.4299,31.8996,37.26,79,100,15.59,overcast clouds
208,Hofn,IS,64.2539,-15.2082,32.25,55,49,14.23,scattered clouds
209,Sola,VU,-13.8833,167.55,81.27,83,90,0.0,light rain
210,Ribeira Grande,PT,38.5167,-28.7,66.6,72,75,26.46,broken clouds
211,Kodiak,US,57.79,-152.4072,36.91,65,90,29.93,moderate rain
212,Panalingaan,PH,8.7842,117.4231,78.73,84,23,1.68,few clouds
213,Sur,OM,22.5667,59.5289,73.56,58,0,7.47,clear sky
214,Palmas,BR,-10.2128,-48.3603,75.07,94,40,3.44,scattered clouds
215,Haines Junction,CA,60.7522,-137.5108,-27.45,75,100,0.0,overcast clouds
216,Warangal,IN,18.0,79.5833,71.98,97,30,5.5,scattered clouds
217,Barrow,US,71.2906,-156.7887,1.42,71,40,3.44,haze
218,Kumluca,TR,36.3703,30.2869,61.68,50,0,7.49,clear sky
219,Dong Hoi,VN,17.4833,106.6,74.12,94,56,3.36,broken clouds
220,Huoqiu,CN,32.3394,116.2694,54.61,84,100,12.66,moderate rain
221,Coquimbo,CL,-29.9533,-71.3436,60.53,77,40,12.66,scattered clouds
222,Vao,NC,-22.6667,167.4833,73.33,77,41,16.98,scattered clouds
223,Green River,US,41.5286,-109.4662,42.19,57,42,18.23,scattered clouds
224,Kavieng,PG,-2.5744,150.7967,81.99,77,90,5.64,moderate rain
225,Iranshahr,IR,27.2025,60.6848,57.54,17,0,6.91,clear sky
226,Anse-Bertrand,GP,16.4721,-61.5078,76.95,100,51,11.95,broken clouds
227,Dhidhdhoo,MV,6.8833,73.1,81.1,69,31,14.92,scattered clouds
228,Prachuap Khiri Khan,TH,12.2167,99.75,78.69,93,73,2.04,broken clouds
229,Dumas,US,35.8656,-101.9732,72.75,15,1,3.44,clear sky
230,Luderitz,NA,-26.6481,15.1594,59.13,91,1,15.86,clear sky
231,Mao,ES,39.8885,4.2658,61.36,88,75,5.75,broken clouds
232,Rehoboth,NA,-23.3167,17.0833,67.01,22,9,8.66,clear sky
233,Port Moresby,PG,-9.4431,147.1797,76.42,100,75,3.44,haze
234,Houma,US,29.5958,-90.7195,75.99,70,0,4.0,clear sky
